export_feldname,prompt_feldname,pruefbericht_feldname,datentyp,pflichtfeld,beispielwert,beschreibung,validierungsregel,häufige_probleme,human_review_hinweis
antrag_id,antrag_id,Antrag-ID,string,ja,A-2026-0142,Eindeutige Kennung des Antrags,Leerwert nicht zulassen; Format prüfen (z.B. Präfix + Jahr + Laufnummer),fehlend; uneinheitliches Format; führende Leerzeichen,Bei fehlender Antrag-ID nur eingeschränkte Vorprüfung durchführen
produktname,produktname,Produktname,string,ja,Cardiolenta,Zu prüfende Arzneimittelbezeichnung,Leerwert nicht zulassen; Trim anwenden,Leerwert; Sonderzeichenfehler; Platzhaltertexte,Produktname manuell auf Schreibweise prüfen
wirkstoff,wirkstoff,Wirkstoff,string,ja,Beispielwirkstoff A,Angabe zum Wirkstoffbezug,Leerwert markieren; Mehrfachwerte zulassen falls relevant,fehlend; uneinheitliche Schreibweise; Abkürzungen,Fehlender Wirkstoff schränkt Aussagekraft der Vorprüfung ein
verfahrensart,verfahrensart,Verfahrensart,string,ja,national,Weg/Art des Verfahrens,Wert gegen erlaubte Liste prüfen (falls vorhanden),uneinheitliche Bezeichnungen (National/national),Bei unklarer Verfahrensart Rückfrage erforderlich
antragsteller,antragsteller,Antragsteller,string,ja,Beispiel Pharma GmbH,Einreichende Organisation,Leerwert markieren,abweichende Firmenschreibweisen; Zusatzzeichen,Bei Abweichungen gegen Stammdaten prüfen
sprachversion,sprachversion,Sprachversion,string,ja,de,Sprachkontext des Falls,Wert auf erwartete Codes prüfen (z.B. de/en),freie Texte statt Sprachcode; Groß-/Kleinschreibung,Sprachversion kann Textentwurf beeinflussen
eingangsdatum,eingangsdatum,Eingangsdatum,date,nein,2026-02-10,Eingang des Antrags,Datumsformat validieren (YYYY-MM-DD),falsches Datumsformat; leere Felder,Bei Fristbezug manuell prüfen
status,status,Status,string,nein,in_pruefung,Aktueller Bearbeitungsstatus,Freitext zulassen oder gegen Statusliste prüfen,uneinheitliche Statuswerte,Status nur informativ verwenden wenn unklar
bearbeiter,bearbeiter,Bearbeiter,string,nein,Max Mustermann,Interne Zuständigkeit,Leerwert zulässig,personenbezogene Angaben; Kürzel statt Klarname,Datenschutzkonforme Nutzung im Workshop beachten
weitere_hinweise,weitere_hinweise,Weitere Hinweise,string,nein,Antrag auf neue Bezeichnung im laufenden Verfahren,Freitext für Zusatzinformationen,Freitext; keine harte Validierung,sehr lange Texte; uneinheitliche Qualität,Fachlich relevante Hinweise manuell prüfen
produktname_alternativ,produktname_alternativ,Alternative Bezeichnung,string,nein,Cardiolenta forte,Optionale alternative/zusätzliche Bezeichnung,Leerwert zulässig,mehrere Werte in einem Feld; Trennzeichen uneinheitlich,Bei mehreren Varianten strukturiert aufteilen
referenz_pruefset,referenz_pruefset,Referenz-Prüfset,string,nein,Set-2026-03,Verweis auf internes Prüfschema/Regelset,Format optional prüfen,fehlend oder veraltet,Version des Prüfschemas manuell bestätigen
export_timestamp,export_timestamp,Exportzeitpunkt,datetime,nein,2026-02-25T09:30:00,Zeitpunkt des Datenexports,ISO-Format bevorzugt,Zeitzone fehlt; altes Exportdatum,Bei altem Exportstand Aktualität manuell prüfen
datenquelle,datenquelle,Datenquelle,string,nein,Fachsystem_X_Export,Quelle des Exports,Freitext zulässig,unklare Quellenbezeichnung,Für Auditierbarkeit Quelle dokumentieren
